open,high,low,close,volume
25593.4,25595,25585,25589.1,17025
25594.8,25615,25583.1,25605.4,17625
25603.2,25658.7,25603.2,25654.4,164250
25653.1,25670,25643,25657.9,183900
25658,25662.9,25595,25608.2,87525
25601.7,25611.8,25588.5,25605.9,78375
25609.6,25611.7,25575,25592,83325
25593.3,25604.4,25589.6,25602.1,33825
25604.7,25605,25588,25598.4,33300
25602.7,25602.7,25583.5,25590,24450
25588.9,25594.1,25585,25585.6,19200
25587.5,25587.5,25557,25582.2,151275
25580,25580,25550.4,25554.7,83775
25554.7,25554.7,25502.5,25529.9,384525
25527,25527,25485.1,25505.1,216825
25508,25520,25500.9,25513,248775
25513,25537.9,25492.2,25495.6,154275
25495.6,25518,25494,25507,91575
25507,25519.3,25505.3,25512.8,132525
25512.8,25523,25505,25508,77850
25507,25520.2,25505.1,25510.6,139800
25510.3,25519,25501.3,25502,143550
25504,25520.2,25500,25517,166200
25517,25520,25500.1,25502.1,133125
25502.1,25506,25495,25501,213975
25500.1,25523.9,25475.1,25489.9,229125
25489.8,25507,25470,25497,170925
25497,25526.9,25493.1,25508.5,85350
25507.3,25513.8,25483.1,25497.1,49725
25492.3,25496.3,25466.1,25472,91950
25469.4,25484.9,25451,25475.1,99600
25479.8,25491.4,25471.7,25476.2,61275
25476.2,25503.6,25470,25491.1,42450
25493.9,25500,25475,25500,36600
25499.2,25509,25485.6,25490,44100
25490,25503.9,25483,25503,28800
25500,25507,25488,25499.9,24975
25498.1,25508.3,25486,25493.5,54600
25494.8,25505.9,25490.9,25504,21375
25504,25509.7,25492.7,25500.5,27075
25498.1,25503.2,25491,25498,15825
25498.3,25512,25495.1,25511,45825
25511,25513.5,25504.2,25512.5,22650
25512,25514.7,25504,25504.9,23625
25504.9,25510,25498,25508.3,30000
25508.5,25514.8,25506.7,25510,30900
25512.8,25516.8,25507,25511.3,29550
25514.8,25514.8,25502.1,25503.4,18300
25503.7,25514,25501.1,25511,13950
25511,25513,25499,25501.9,30375
25500.8,25506,25475,25483.1,69525
25483.1,25492,25478,25490.1,14925
25490,25493,25484,25484.2,26250
25484.2,25484.9,25461,25463.6,77550
25463,25465.5,25430.1,25440,289950
25437.4,25440,25411,25431.7,242175
25428.5,25435,25415,25429,42600
25428,25431.2,25416,25418.1,66675
25418,25435,25416.8,25420.3,48375
25420.3,25438.4,25410,25431.9,84675
25431.9,25439.3,25426.2,25435.1,65400
25435,25444.4,25431.5,25436,63150
25436,25442.5,25433.4,25440.4,26325
25440,25441.1,25431.1,25436.6,18375
25436.6,25454.3,25436.5,25453,43500
25450,25450,25433,25441,24225
25441,25448,25436,25439.1,17850
25439.1,25449.4,25435.7,25438,26850
25438,25443.8,25435,25435.8,13725
25435.5,25445,25435.4,25441,11550
25440.5,25448,25435,25448,17850
25448,25453.2,25440.5,25442.3,16500
25440.5,25458.9,25438.6,25451.1,22275
25451.6,25457.8,25440.6,25442,21675
25442,25450.1,25440.6,25450,17475
25450.6,25455,25443,25447.5,12675
25447,25456,25442,25454.6,26775
25454.6,25459.1,25450,25451.9,26400
25451.9,25457.7,25447.3,25449,12900
25454,25456,25445,25453.4,12450
25455,25460,25451.3,25455.1,12900
25455.1,25475,25448,25470,42675
25468,25475,25443,25457.8,30825
25457.8,25468.7,25455,25460.2,31125
25460.2,25469.1,25452.7,25464.1,35175
25466.1,25466.1,25453.9,25463,37500
25462,25464,25452.1,25459,40650
25460,25467,25459.9,25467,41775
25467,25479,25461.7,25475.7,47775
25475.7,25525,25475.7,25524,269775
25521.7,25548,25521.7,25547,198225
25548.1,25558.6,25531,25540,173625
25535,25540,25525,25529.4,73875
25529.4,25538,25525,25538,56850
25536.9,25545,25532,25544.7,67125
25544.7,25549.6,25533,25543,85050
25542,25547.6,25534,25540,39375
25543,25547.9,25528,25533.6,136500
25530.5,25544,25529,25540,87300
25541,25553,25538.3,25552,149850
