open,high,low,close,volume
25472.3,25475,25443.4,25455,65625
25454.2,25460,25445,25452.8,30300
25450,25462,25431,25431,75375
25431.6,25434,25412,25428,161775
25426.1,25437,25424.6,25435,89550
25435,25439.7,25421.9,25422.8,85725
25429.5,25429.8,25421,25425.3,89250
25423.4,25430,25415,25415,189075
25415,25420,25411.2,25414,239925
25335,25350,25315,25341.7,408825
25343,25359,25336,25355,182400
25355,25384,25351,25363.4,183750
25365,25365.2,25344.8,25351.5,79800
25345.5,25370,25343.6,25360,60675
25360,25382.4,25360,25371.5,67425
25371.3,25373.1,25356,25361.5,39375
25360,25371.6,25354,25362,34275
25364.8,25369.4,25344.7,25350,37425
25353.5,25353.5,25320.1,25320.1,151725
25323,25340,25320,25337.4,71175
25337,25338.4,25320.4,25324.8,61500
25324,25327.6,25304,25309,123750
25304,25318.3,25292,25310,177900
25312.4,25314.4,25301.7,25305,43950
25308.7,25308.7,25282,25284,124050
25284,25299.4,25280.5,25296,79725
25297,25299.9,25271,25277,76875
25277,25279.8,25255.1,25260,154275
25260.1,25278,25254,25271,94200
25272,25274,25231,25246.2,142875
25244.1,25248.1,25222.4,25235.5,203625
25235,25246,25214,25219.5,117750
25215,25263.3,25215,25244,128475
25243,25246.3,25235,25235,59850
25237,25238.3,25225,25225,68550
25225,25230,25220,25229.9,54675
25226.8,25243.9,25226.6,25235,72675
25232.5,25245,25232.2,25241.9,37425
25245,25245.1,25230.9,25237.6,32925
25235.6,25244,25232,25242,21000
25240,25250.7,25239,25245.9,36825
25243.3,25246.9,25230,25230.2,46200
25230.2,25237.4,25206.1,25220,126450
25224.9,25235.2,25213,25225,81975
25225,25239.7,25221.1,25237.9,41700
25235.3,25239.9,25225,25233.1,39000
25232.8,25236.5,25226.5,25230.5,39000
25231,25233.1,25224.4,25226.9,21600
25225,25246.8,25225,25244.3,50850
25244.4,25257.2,25240,25240,67350
25241,25261.9,25240,25254,47475
25254,25255,25241.8,25243.4,32925
25243.9,25245,25228.2,25228.2,40275
